Fuel_Type,Date_MST,Measure_Names,Measure_Values
Coal,01/01/2015 00:00:00,System Generation,4801.624184
Coal,01/02/2015 00:00:00,System Generation,4636.842688
Coal,01/03/2015 00:00:00,System Generation,4269.689325
Coal,01/04/2015 00:00:00,System Generation,3973.649076
Coal,01/05/2015 00:00:00,System Generation,3783.69914
Coal,01/06/2015 00:00:00,System Generation,4439.912644
Coal,01/07/2015 00:00:00,System Generation,4545.557564
Coal,01/08/2015 00:00:00,System Generation,4469.260905
Coal,01/09/2015 00:00:00,System Generation,4713.756814
Coal,01/10/2015 00:00:00,System Generation,4760.804538
Coal,01/11/2015 00:00:00,System Generation,4707.845997
Coal,01/12/2015 00:00:00,System Generation,4868.740498
Coal,01/01/2016 00:00:00,System Generation,4711.103601
Coal,01/02/2016 00:00:00,System Generation,4341.089035
Coal,01/03/2016 00:00:00,System Generation,3757.1415
Coal,01/04/2016 00:00:00,System Generation,3708.183669
Coal,01/05/2016 00:00:00,System Generation,3887.284311
Coal,01/06/2016 00:00:00,System Generation,4201.232053
Coal,01/07/2016 00:00:00,System Generation,4603.239203
Coal,01/08/2016 00:00:00,System Generation,4577.943221
Coal,01/09/2016 00:00:00,System Generation,4540.414005
Coal,01/10/2016 00:00:00,System Generation,4502.993965
Coal,01/11/2016 00:00:00,System Generation,4736.818059
Coal,01/12/2016 00:00:00,System Generation,4912.173219
Coal,01/01/2017 00:00:00,System Generation,4752.062114
Coal,01/02/2017 00:00:00,System Generation,4625.684295
Coal,01/03/2017 00:00:00,System Generation,4232.43892
Coal,01/04/2017 00:00:00,System Generation,3947.529608
Coal,01/05/2017 00:00:00,System Generation,4083.999254
Coal,01/06/2017 00:00:00,System Generation,3864.728857
Coal,01/07/2017 00:00:00,System Generation,4227.056479
Coal,01/08/2017 00:00:00,System Generation,4351.493819
Coal,01/09/2017 00:00:00,System Generation,4126.410996
Coal,01/10/2017 00:00:00,System Generation,3749.854123
Coal,01/11/2017 00:00:00,System Generation,4476.02082
Coal,01/12/2017 00:00:00,System Generation,4457.309848
Coal,01/01/2018 00:00:00,System Generation,3600.636658
Coal,01/02/2018 00:00:00,System Generation,3441.095118
Coal,01/03/2018 00:00:00,System Generation,3434.206331
Coal,01/04/2018 00:00:00,System Generation,3059.492263
Coal,01/05/2018 00:00:00,System Generation,2688.644293
Coal,01/06/2018 00:00:00,System Generation,2830.135377
Coal,01/07/2018 00:00:00,System Generation,3220.348971
Coal,01/08/2018 00:00:00,System Generation,3297.663414
Coal,01/09/2018 00:00:00,System Generation,3245.39523
Coal,01/10/2018 00:00:00,System Generation,3255.385505
Coal,01/11/2018 00:00:00,System Generation,3531.876157
Coal,01/12/2018 00:00:00,System Generation,3474.086845
Coal,01/01/2019 00:00:00,System Generation,3215.112595
Coal,01/02/2019 00:00:00,System Generation,3801.894575
Coal,01/03/2019 00:00:00,System Generation,3557.033244
Coal,01/04/2019 00:00:00,System Generation,2926.000346
