Date_MST,Measure_Names,Measure_Values
01/01/2015 00:00:00,Other,95.45833333
02/01/2015 00:00:00,Other,98
03/01/2015 00:00:00,Other,91.5
04/01/2015 00:00:00,Other,90.08333333
05/01/2015 00:00:00,Other,92.33333333
06/01/2015 00:00:00,Other,92.875
07/01/2015 00:00:00,Other,94
08/01/2015 00:00:00,Other,85.375
09/01/2015 00:00:00,Other,78
10/01/2015 00:00:00,Other,94
11/01/2015 00:00:00,Other,94.70833333
12/01/2015 00:00:00,Other,96.25
13/01/2015 00:00:00,Other,97.04166667
14/01/2015 00:00:00,Other,94.20833333
15/01/2015 00:00:00,Other,94
16/01/2015 00:00:00,Other,94
17/01/2015 00:00:00,Other,94
18/01/2015 00:00:00,Other,94
19/01/2015 00:00:00,Other,90
20/01/2015 00:00:00,Other,94
21/01/2015 00:00:00,Other,94
22/01/2015 00:00:00,Other,92.16666667
23/01/2015 00:00:00,Other,90
24/01/2015 00:00:00,Other,90
25/01/2015 00:00:00,Other,90
26/01/2015 00:00:00,Other,95.33333333
27/01/2015 00:00:00,Other,101.7083333
28/01/2015 00:00:00,Other,99
29/01/2015 00:00:00,Other,99
30/01/2015 00:00:00,Other,99.20833333
31/01/2015 00:00:00,Other,107
01/02/2015 00:00:00,Other,111.5
02/02/2015 00:00:00,Other,113
03/02/2015 00:00:00,Other,108.625
04/02/2015 00:00:00,Other,109.3333333
05/02/2015 00:00:00,Other,121.2916667
06/02/2015 00:00:00,Other,121
07/02/2015 00:00:00,Other,114.5
08/02/2015 00:00:00,Other,113.25
09/02/2015 00:00:00,Other,107.25
10/02/2015 00:00:00,Other,107.2916667
11/02/2015 00:00:00,Other,99.66666667
12/02/2015 00:00:00,Other,100
13/02/2015 00:00:00,Other,116.5
14/02/2015 00:00:00,Other,117.5
15/02/2015 00:00:00,Other,115.625
16/02/2015 00:00:00,Other,118.0833333
17/02/2015 00:00:00,Other,120.4166667
18/02/2015 00:00:00,Other,117.0833333
19/02/2015 00:00:00,Other,112
20/02/2015 00:00:00,Other,106.625
21/02/2015 00:00:00,Other,109
22/02/2015 00:00:00,Other,109
23/02/2015 00:00:00,Other,122
24/02/2015 00:00:00,Other,123.4583333
25/02/2015 00:00:00,Other,123.3333333
26/02/2015 00:00:00,Other,123.6666667
27/02/2015 00:00:00,Other,124.375
28/02/2015 00:00:00,Other,110.5833333
01/03/2015 00:00:00,Other,109
02/03/2015 00:00:00,Other,117.3333333
03/03/2015 00:00:00,Other,148.375
04/03/2015 00:00:00,Other,128.125
05/03/2015 00:00:00,Other,114.4583333
06/03/2015 00:00:00,Other,113
07/03/2015 00:00:00,Other,117.0416667
08/03/2015 00:00:00,Other,123.75
09/03/2015 00:00:00,Other,143.0416667
10/03/2015 00:00:00,Other,142.125
11/03/2015 00:00:00,Other,117.5833333
12/03/2015 00:00:00,Other,117.375
13/03/2015 00:00:00,Other,114.4583333
14/03/2015 00:00:00,Other,119.125
15/03/2015 00:00:00,Other,115.5416667
16/03/2015 00:00:00,Other,114.25
17/03/2015 00:00:00,Other,113
18/03/2015 00:00:00,Other,113
19/03/2015 00:00:00,Other,119.125
20/03/2015 00:00:00,Other,111.2916667
21/03/2015 00:00:00,Other,110.25
22/03/2015 00:00:00,Other,109
23/03/2015 00:00:00,Other,115.5833333
24/03/2015 00:00:00,Other,109
25/03/2015 00:00:00,Other,110.375
26/03/2015 00:00:00,Other,118.75
27/03/2015 00:00:00,Other,112.25
28/03/2015 00:00:00,Other,109
29/03/2015 00:00:00,Other,109
30/03/2015 00:00:00,Other,108.5833333
31/03/2015 00:00:00,Other,117.1666667
01/04/2015 00:00:00,Other,113.2916667
02/04/2015 00:00:00,Other,131.7916667
03/04/2015 00:00:00,Other,147
04/04/2015 00:00:00,Other,144.9166667
05/04/2015 00:00:00,Other,149.5
06/04/2015 00:00:00,Other,148.5
07/04/2015 00:00:00,Other,147
08/04/2015 00:00:00,Other,147
09/04/2015 00:00:00,Other,150.9583333
10/04/2015 00:00:00,Other,154.0833333
11/04/2015 00:00:00,Other,149
12/04/2015 00:00:00,Other,153.375
13/04/2015 00:00:00,Other,155
14/04/2015 00:00:00,Other,155
15/04/2015 00:00:00,Other,151.0833333
16/04/2015 00:00:00,Other,196.7916667
17/04/2015 00:00:00,Other,196.7916667
18/04/2015 00:00:00,Other,151.375
19/04/2015 00:00:00,Other,161.5
20/04/2015 00:00:00,Other,174.125
21/04/2015 00:00:00,Other,183.8333333
22/04/2015 00:00:00,Other,164.375
23/04/2015 00:00:00,Other,167.1666667
24/04/2015 00:00:00,Other,154.6666667
25/04/2015 00:00:00,Other,157.375
26/04/2015 00:00:00,Other,156.75
27/04/2015 00:00:00,Other,138.625
