Date - MST,Measure Names,Measure Values
31/05/2023 00:00:00,Avg. Spark Spread,98.811086957
30/05/2023 00:00:00,Avg. Spark Spread,35.751458333
29/05/2023 00:00:00,Avg. Spark Spread,77.218020833
28/05/2023 00:00:00,Avg. Spark Spread,110.5225
27/05/2023 00:00:00,Avg. Spark Spread,43.4765625
26/05/2023 00:00:00,Avg. Spark Spread,253.41875
25/05/2023 00:00:00,Avg. Spark Spread,279.231041667
24/05/2023 00:00:00,Avg. Spark Spread,515.04375
23/05/2023 00:00:00,Avg. Spark Spread,58.20875
22/05/2023 00:00:00,Avg. Spark Spread,14.404375
21/05/2023 00:00:00,Avg. Spark Spread,26.616666667
20/05/2023 00:00:00,Avg. Spark Spread,48.555208333
19/05/2023 00:00:00,Avg. Spark Spread,12.581458333
18/05/2023 00:00:00,Avg. Spark Spread,34.674375
17/05/2023 00:00:00,Avg. Spark Spread,53.815
16/05/2023 00:00:00,Avg. Spark Spread,5.650416667
15/05/2023 00:00:00,Avg. Spark Spread,214.9596875
14/05/2023 00:00:00,Avg. Spark Spread,24.862083333
13/05/2023 00:00:00,Avg. Spark Spread,95.919895833
12/05/2023 00:00:00,Avg. Spark Spread,217.737708333
11/05/2023 00:00:00,Avg. Spark Spread,222.352291667
10/05/2023 00:00:00,Avg. Spark Spread,390.800833333
09/05/2023 00:00:00,Avg. Spark Spread,264.305625
08/05/2023 00:00:00,Avg. Spark Spread,190.921875
07/05/2023 00:00:00,Avg. Spark Spread,47.387708333
06/05/2023 00:00:00,Avg. Spark Spread,16.12125
05/05/2023 00:00:00,Avg. Spark Spread,8.412291667
04/05/2023 00:00:00,Avg. Spark Spread,30.336458333
03/05/2023 00:00:00,Avg. Spark Spread,329.956458333
02/05/2023 00:00:00,Avg. Spark Spread,432.586041667
01/05/2023 00:00:00,Avg. Spark Spread,32.879479167
30/04/2023 00:00:00,Avg. Spark Spread,21.6103125
29/04/2023 00:00:00,Avg. Spark Spread,50.231458333
28/04/2023 00:00:00,Avg. Spark Spread,47.625625
27/04/2023 00:00:00,Avg. Spark Spread,131.719583333
26/04/2023 00:00:00,Avg. Spark Spread,66.4
25/04/2023 00:00:00,Avg. Spark Spread,30.985416667
24/04/2023 00:00:00,Avg. Spark Spread,108.287916667
23/04/2023 00:00:00,Avg. Spark Spread,28.914791667
22/04/2023 00:00:00,Avg. Spark Spread,48.455833333
21/04/2023 00:00:00,Avg. Spark Spread,362.139375
20/04/2023 00:00:00,Avg. Spark Spread,466.155625
19/04/2023 00:00:00,Avg. Spark Spread,196.154166667
18/04/2023 00:00:00,Avg. Spark Spread,270.304791667
17/04/2023 00:00:00,Avg. Spark Spread,92.673541667
16/04/2023 00:00:00,Avg. Spark Spread,59.515833333
15/04/2023 00:00:00,Avg. Spark Spread,34.020520833
14/04/2023 00:00:00,Avg. Spark Spread,107.389270833
13/04/2023 00:00:00,Avg. Spark Spread,262.703125
12/04/2023 00:00:00,Avg. Spark Spread,155.311875
11/04/2023 00:00:00,Avg. Spark Spread,69.146666667
10/04/2023 00:00:00,Avg. Spark Spread,165.418541667
09/04/2023 00:00:00,Avg. Spark Spread,26.674583333
08/04/2023 00:00:00,Avg. Spark Spread,12.507708333
07/04/2023 00:00:00,Avg. Spark Spread,30.205416667
06/04/2023 00:00:00,Avg. Spark Spread,37.461041667
05/04/2023 00:00:00,Avg. Spark Spread,133.196875
04/04/2023 00:00:00,Avg. Spark Spread,356.257083333
03/04/2023 00:00:00,Avg. Spark Spread,182.123854167
02/04/2023 00:00:00,Avg. Spark Spread,146.548229167
01/04/2023 00:00:00,Avg. Spark Spread,25.025625
31/03/2023 00:00:00,Avg. Spark Spread,28.24875
30/03/2023 00:00:00,Avg. Spark Spread,50.607708333
29/03/2023 00:00:00,Avg. Spark Spread,44.9375
28/03/2023 00:00:00,Avg. Spark Spread,132.750833333
27/03/2023 00:00:00,Avg. Spark Spread,243.53625
26/03/2023 00:00:00,Avg. Spark Spread,124.2003125
25/03/2023 00:00:00,Avg. Spark Spread,136.702395833
24/03/2023 00:00:00,Avg. Spark Spread,93.075104167
23/03/2023 00:00:00,Avg. Spark Spread,26.7903125
22/03/2023 00:00:00,Avg. Spark Spread,175.203958333
21/03/2023 00:00:00,Avg. Spark Spread,335.505208333
20/03/2023 00:00:00,Avg. Spark Spread,230.43625
19/03/2023 00:00:00,Avg. Spark Spread,222.093333333
18/03/2023 00:00:00,Avg. Spark Spread,146.936041667
17/03/2023 00:00:00,Avg. Spark Spread,115.640833333
16/03/2023 00:00:00,Avg. Spark Spread,109.833958333
15/03/2023 00:00:00,Avg. Spark Spread,144.92375
14/03/2023 00:00:00,Avg. Spark Spread,108.0875
13/03/2023 00:00:00,Avg. Spark Spread,60.178854167
12/03/2023 00:00:00,Avg. Spark Spread,117.323854167
11/03/2023 00:00:00,Avg. Spark Spread,175.366666667
