Date - MST,Measure Names,Measure Values
31/05/2023 00:00:00,System Load,6599.093753235
30/05/2023 00:00:00,System Load,6691.225419737
29/05/2023 00:00:00,System Load,6736.613276804
28/05/2023 00:00:00,System Load,6361.872565554
27/05/2023 00:00:00,System Load,6435.645233308
26/05/2023 00:00:00,System Load,6396.946622129
25/05/2023 00:00:00,System Load,6377.140241871
24/05/2023 00:00:00,System Load,6385.209727175
23/05/2023 00:00:00,System Load,6727.069624546
22/05/2023 00:00:00,System Load,6556.744703954
21/05/2023 00:00:00,System Load,6460.601462137
20/05/2023 00:00:00,System Load,6359.939772779
19/05/2023 00:00:00,System Load,6710.766656867
18/05/2023 00:00:00,System Load,6401.469039625
17/05/2023 00:00:00,System Load,6382.433940925
16/05/2023 00:00:00,System Load,6633.271592342
15/05/2023 00:00:00,System Load,6858.964221467
14/05/2023 00:00:00,System Load,6395.1836854
13/05/2023 00:00:00,System Load,6383.825574754
12/05/2023 00:00:00,System Load,6536.354082033
11/05/2023 00:00:00,System Load,6464.251621242
10/05/2023 00:00:00,System Load,6491.421773329
09/05/2023 00:00:00,System Load,6320.534126383
08/05/2023 00:00:00,System Load,6501.034446288
07/05/2023 00:00:00,System Load,6098.39730435
06/05/2023 00:00:00,System Load,6279.900960792
05/05/2023 00:00:00,System Load,6893.7364162
04/05/2023 00:00:00,System Load,7013.641962067
03/05/2023 00:00:00,System Load,6758.359294438
02/05/2023 00:00:00,System Load,6715.628414217
01/05/2023 00:00:00,System Load,6747.458198458
30/04/2023 00:00:00,System Load,6444.359602187
29/04/2023 00:00:00,System Load,6301.736039292
28/04/2023 00:00:00,System Load,6576.6739308
27/04/2023 00:00:00,System Load,6649.485142046
26/04/2023 00:00:00,System Load,6633.5899411
25/04/2023 00:00:00,System Load,6739.847541742
24/04/2023 00:00:00,System Load,6685.158545638
23/04/2023 00:00:00,System Load,6465.952012942
22/04/2023 00:00:00,System Load,6358.428221025
21/04/2023 00:00:00,System Load,6604.840801742
20/04/2023 00:00:00,System Load,6629.58226165
19/04/2023 00:00:00,System Load,6744.660664329
18/04/2023 00:00:00,System Load,6621.746260958
17/04/2023 00:00:00,System Load,6833.117547888
16/04/2023 00:00:00,System Load,6365.484277254
15/04/2023 00:00:00,System Load,6440.907344337
14/04/2023 00:00:00,System Load,6587.852278838
13/04/2023 00:00:00,System Load,6600.50485605
12/04/2023 00:00:00,System Load,6740.59741355
11/04/2023 00:00:00,System Load,6788.000563963
10/04/2023 00:00:00,System Load,6641.9506151
09/04/2023 00:00:00,System Load,6403.585979329
08/04/2023 00:00:00,System Load,6471.117950462
07/04/2023 00:00:00,System Load,6527.985105054
06/04/2023 00:00:00,System Load,6766.268087271
05/04/2023 00:00:00,System Load,6738.966377867
04/04/2023 00:00:00,System Load,6667.082988108
03/04/2023 00:00:00,System Load,6672.377079971
02/04/2023 00:00:00,System Load,6593.4634369
01/04/2023 00:00:00,System Load,6612.519636921
31/03/2023 00:00:00,System Load,6944.4238844
30/03/2023 00:00:00,System Load,6921.370035988
29/03/2023 00:00:00,System Load,6841.996455404
28/03/2023 00:00:00,System Load,6924.443593954
27/03/2023 00:00:00,System Load,6926.668907979
26/03/2023 00:00:00,System Load,6568.336528663
25/03/2023 00:00:00,System Load,6609.813728296
24/03/2023 00:00:00,System Load,6867.958153517
23/03/2023 00:00:00,System Load,6986.380874017
22/03/2023 00:00:00,System Load,6922.572083125
21/03/2023 00:00:00,System Load,6929.704399667
20/03/2023 00:00:00,System Load,6820.541744229
19/03/2023 00:00:00,System Load,6536.892900962
18/03/2023 00:00:00,System Load,6726.544034542
17/03/2023 00:00:00,System Load,7011.964704487
16/03/2023 00:00:00,System Load,7088.548201658
15/03/2023 00:00:00,System Load,7124.843824137
14/03/2023 00:00:00,System Load,7255.310586562
13/03/2023 00:00:00,System Load,7361.216680579
