Date_MST,Measure_Names,Measure_Values
01/01/2015 00:00:00,Flows,-80.00766667
02/01/2015 00:00:00,Flows,-18.63835417
03/01/2015 00:00:00,Flows,178.99525
04/01/2015 00:00:00,Flows,167.3166667
05/01/2015 00:00:00,Flows,403.945
06/01/2015 00:00:00,Flows,463.5883625
07/01/2015 00:00:00,Flows,277.3523333
08/01/2015 00:00:00,Flows,290.2153333
09/01/2015 00:00:00,Flows,432.3906667
10/01/2015 00:00:00,Flows,421.3883333
11/01/2015 00:00:00,Flows,488.116
12/01/2015 00:00:00,Flows,352.6756667
13/01/2015 00:00:00,Flows,214.6653333
14/01/2015 00:00:00,Flows,47.57672083
15/01/2015 00:00:00,Flows,21.14244583
16/01/2015 00:00:00,Flows,144.4403333
17/01/2015 00:00:00,Flows,142.4764125
18/01/2015 00:00:00,Flows,235.0043333
19/01/2015 00:00:00,Flows,99.12921667
20/01/2015 00:00:00,Flows,130.7054208
21/01/2015 00:00:00,Flows,78.17933333
22/01/2015 00:00:00,Flows,-143.17475
23/01/2015 00:00:00,Flows,-83.51908333
24/01/2015 00:00:00,Flows,-60.875
25/01/2015 00:00:00,Flows,-128.5946667
26/01/2015 00:00:00,Flows,317.9403333
27/01/2015 00:00:00,Flows,92.599
28/01/2015 00:00:00,Flows,129.0473333
29/01/2015 00:00:00,Flows,131.071
30/01/2015 00:00:00,Flows,204.041
31/01/2015 00:00:00,Flows,159.07
01/02/2015 00:00:00,Flows,105.6653333
02/02/2015 00:00:00,Flows,480.093
03/02/2015 00:00:00,Flows,454.394
04/02/2015 00:00:00,Flows,161.8793333
05/02/2015 00:00:00,Flows,181.927
06/02/2015 00:00:00,Flows,347.673
07/02/2015 00:00:00,Flows,276.5183333
08/02/2015 00:00:00,Flows,272.6346667
09/02/2015 00:00:00,Flows,640.301
10/02/2015 00:00:00,Flows,674.904
11/02/2015 00:00:00,Flows,645.1516667
12/02/2015 00:00:00,Flows,415.2883333
13/02/2015 00:00:00,Flows,327.085
14/02/2015 00:00:00,Flows,558.2573333
15/02/2015 00:00:00,Flows,328.0503333
16/02/2015 00:00:00,Flows,238.1606667
17/02/2015 00:00:00,Flows,324.864
18/02/2015 00:00:00,Flows,186.1706667
19/02/2015 00:00:00,Flows,163.5731458
20/02/2015 00:00:00,Flows,251.217
21/02/2015 00:00:00,Flows,349.1493333
22/02/2015 00:00:00,Flows,260.6816667
23/02/2015 00:00:00,Flows,61.82033333
24/02/2015 00:00:00,Flows,144.3673125
25/02/2015 00:00:00,Flows,252.2146667
26/02/2015 00:00:00,Flows,183.0376667
27/02/2015 00:00:00,Flows,287.4283333
28/02/2015 00:00:00,Flows,412.198
01/03/2015 00:00:00,Flows,148.8409583
02/03/2015 00:00:00,Flows,114.4519792
03/03/2015 00:00:00,Flows,174.0483333
04/03/2015 00:00:00,Flows,146.6903333
05/03/2015 00:00:00,Flows,38.97977083
06/03/2015 00:00:00,Flows,12.72579167
07/03/2015 00:00:00,Flows,-26.04166667
08/03/2015 00:00:00,Flows,-115.4666667
09/03/2015 00:00:00,Flows,-52.78766667
10/03/2015 00:00:00,Flows,-76.686
11/03/2015 00:00:00,Flows,-45.01133333
12/03/2015 00:00:00,Flows,-25.675
13/03/2015 00:00:00,Flows,18.52566667
14/03/2015 00:00:00,Flows,37.10004167
15/03/2015 00:00:00,Flows,23.6463125
16/03/2015 00:00:00,Flows,41.9513125
17/03/2015 00:00:00,Flows,30
18/03/2015 00:00:00,Flows,46.94533333
19/03/2015 00:00:00,Flows,84.35866667
20/03/2015 00:00:00,Flows,152.2036667
21/03/2015 00:00:00,Flows,220.7896667
22/03/2015 00:00:00,Flows,155.5056667
23/03/2015 00:00:00,Flows,350.7106667
24/03/2015 00:00:00,Flows,332.4658125
25/03/2015 00:00:00,Flows,194.325
26/03/2015 00:00:00,Flows,129.5523333
27/03/2015 00:00:00,Flows,148.3462708
28/03/2015 00:00:00,Flows,259.523
29/03/2015 00:00:00,Flows,237.1563333
30/03/2015 00:00:00,Flows,289.2241875
31/03/2015 00:00:00,Flows,252.6559375
01/04/2015 00:00:00,Flows,298.689
02/04/2015 00:00:00,Flows,284.9943333
03/04/2015 00:00:00,Flows,61.44966667
04/04/2015 00:00:00,Flows,57.29166667
05/04/2015 00:00:00,Flows,80.83433333
06/04/2015 00:00:00,Flows,41.66666667
07/04/2015 00:00:00,Flows,40.625
08/04/2015 00:00:00,Flows,40.625
09/04/2015 00:00:00,Flows,60.41666667
10/04/2015 00:00:00,Flows,20.826
11/04/2015 00:00:00,Flows,84.56233333
12/04/2015 00:00:00,Flows,21.68933333
13/04/2015 00:00:00,Flows,0
14/04/2015 00:00:00,Flows,0
15/04/2015 00:00:00,Flows,0
16/04/2015 00:00:00,Flows,0
17/04/2015 00:00:00,Flows,0
18/04/2015 00:00:00,Flows,0
19/04/2015 00:00:00,Flows,0
20/04/2015 00:00:00,Flows,0
21/04/2015 00:00:00,Flows,0
22/04/2015 00:00:00,Flows,0
23/04/2015 00:00:00,Flows,0
24/04/2015 00:00:00,Flows,0
25/04/2015 00:00:00,Flows,6.25
26/04/2015 00:00:00,Flows,34.375
27/04/2015 00:00:00,Flows,99.782875
28/04/2015 00:00:00,Flows,150.0253333
29/04/2015 00:00:00,Flows,137.9846667
30/04/2015 00:00:00,Flows,45.49895833
01/05/2015 00:00:00,Flows,-26.9039375
02/05/2015 00:00:00,Flows,-36.47225
03/05/2015 00:00:00,Flows,7.5
04/05/2015 00:00:00,Flows,61.91666667
05/05/2015 00:00:00,Flows,13.479625
06/05/2015 00:00:00,Flows,-52.91666667
07/05/2015 00:00:00,Flows,-60.7138125
08/05/2015 00:00:00,Flows,37.7845
09/05/2015 00:00:00,Flows,20.42652083
10/05/2015 00:00:00,Flows,-25.09422917
11/05/2015 00:00:00,Flows,113.8182917
12/05/2015 00:00:00,Flows,163.05475
13/05/2015 00:00:00,Flows,121.7626667
14/05/2015 00:00:00,Flows,6.644833333
15/05/2015 00:00:00,Flows,86.0335
16/05/2015 00:00:00,Flows,122.722
17/05/2015 00:00:00,Flows,8.333333333
18/05/2015 00:00:00,Flows,2.466166667
19/05/2015 00:00:00,Flows,31.25
20/05/2015 00:00:00,Flows,107.8265
21/05/2015 00:00:00,Flows,319.474
22/05/2015 00:00:00,Flows,342.493
23/05/2015 00:00:00,Flows,389.2916667
24/05/2015 00:00:00,Flows,205.5653333
25/05/2015 00:00:00,Flows,486.273
26/05/2015 00:00:00,Flows,234.7726667
27/05/2015 00:00:00,Flows,181.735
28/05/2015 00:00:00,Flows,-10.04333333
29/05/2015 00:00:00,Flows,245.5131667
30/05/2015 00:00:00,Flows,413.4830417
31/05/2015 00:00:00,Flows,185.4599583
01/06/2015 00:00:00,Flows,265.3243333
02/06/2015 00:00:00,Flows,226.375125
03/06/2015 00:00:00,Flows,145.6116667
04/06/2015 00:00:00,Flows,177.2143333
05/06/2015 00:00:00,Flows,338.4833333
06/06/2015 00:00:00,Flows,376.6893333
07/06/2015 00:00:00,Flows,240.112
08/06/2015 00:00:00,Flows,115.4709583
09/06/2015 00:00:00,Flows,129.7320417
10/06/2015 00:00:00,Flows,264.7985833
11/06/2015 00:00:00,Flows,273.446
12/06/2015 00:00:00,Flows,184.0523333
13/06/2015 00:00:00,Flows,29.28729167
14/06/2015 00:00:00,Flows,71.22316667
15/06/2015 00:00:00,Flows,222.7646667
16/06/2015 00:00:00,Flows,219.48
17/06/2015 00:00:00,Flows,90.84220833
18/06/2015 00:00:00,Flows,95.829375
19/06/2015 00:00:00,Flows,224.8356667
20/06/2015 00:00:00,Flows,121.5066667
21/06/2015 00:00:00,Flows,-95.83333333
22/06/2015 00:00:00,Flows,286.8276667
23/06/2015 00:00:00,Flows,227.064
24/06/2015 00:00:00,Flows,289.065375
25/06/2015 00:00:00,Flows,385.8665833
26/06/2015 00:00:00,Flows,344.7438333
27/06/2015 00:00:00,Flows,415.2299583
28/06/2015 00:00:00,Flows,569.9997917
29/06/2015 00:00:00,Flows,624.7144167
30/06/2015 00:00:00,Flows,480.8883333
01/07/2015 00:00:00,Flows,45.584625
02/07/2015 00:00:00,Flows,290.3815
03/07/2015 00:00:00,Flows,179.63275
04/07/2015 00:00:00,Flows,22.26620833
05/07/2015 00:00:00,Flows,-55.72741667
06/07/2015 00:00:00,Flows,39.91179167
07/07/2015 00:00:00,Flows,39.58333333
08/07/2015 00:00:00,Flows,50.008
09/07/2015 00:00:00,Flows,117.9675417
10/07/2015 00:00:00,Flows,179.0270833
11/07/2015 00:00:00,Flows,34.74183333
12/07/2015 00:00:00,Flows,3.661333333
13/07/2015 00:00:00,Flows,25.9145
14/07/2015 00:00:00,Flows,-46.77220833
15/07/2015 00:00:00,Flows,-42.623
16/07/2015 00:00:00,Flows,-113.2387083
17/07/2015 00:00:00,Flows,-174.4115833
18/07/2015 00:00:00,Flows,-189.384625
19/07/2015 00:00:00,Flows,-272.6573333
20/07/2015 00:00:00,Flows,-68.45479167
21/07/2015 00:00:00,Flows,-230.0463333
22/07/2015 00:00:00,Flows,-22.044
23/07/2015 00:00:00,Flows,24.97066667
24/07/2015 00:00:00,Flows,15.61345833
25/07/2015 00:00:00,Flows,-4.166666667
26/07/2015 00:00:00,Flows,-18.375
27/07/2015 00:00:00,Flows,5.189666667
28/07/2015 00:00:00,Flows,-12.5
29/07/2015 00:00:00,Flows,-25
30/07/2015 00:00:00,Flows,22.88733333
31/07/2015 00:00:00,Flows,121.799
01/08/2015 00:00:00,Flows,-7.291666667
02/08/2015 00:00:00,Flows,-73.621375
03/08/2015 00:00:00,Flows,-3.181
04/08/2015 00:00:00,Flows,176.46725
05/08/2015 00:00:00,Flows,63.49233333
06/08/2015 00:00:00,Flows,-48.93616667
07/08/2015 00:00:00,Flows,-113.307
08/08/2015 00:00:00,Flows,-68.81883333
09/08/2015 00:00:00,Flows,-78.22366667
10/08/2015 00:00:00,Flows,235.6433333
11/08/2015 00:00:00,Flows,257.9445
12/08/2015 00:00:00,Flows,311.8589167
13/08/2015 00:00:00,Flows,118.2105
14/08/2015 00:00:00,Flows,101.9233333
15/08/2015 00:00:00,Flows,56.05291667
16/08/2015 00:00:00,Flows,-48.95833333
17/08/2015 00:00:00,Flows,-59.91216667
18/08/2015 00:00:00,Flows,-46.96841667
19/08/2015 00:00:00,Flows,43.29875
20/08/2015 00:00:00,Flows,138.37225
21/08/2015 00:00:00,Flows,-4.699416667
22/08/2015 00:00:00,Flows,-25.13466667
23/08/2015 00:00:00,Flows,-22.094
24/08/2015 00:00:00,Flows,77.62833333
25/08/2015 00:00:00,Flows,55.03891667
26/08/2015 00:00:00,Flows,-31.34058333
27/08/2015 00:00:00,Flows,-52.08333333
28/08/2015 00:00:00,Flows,5.02825
29/08/2015 00:00:00,Flows,-13.33333333
30/08/2015 00:00:00,Flows,-34.375
31/08/2015 00:00:00,Flows,56.15833333
01/09/2015 00:00:00,Flows,156.7593333
02/09/2015 00:00:00,Flows,127.81425
03/09/2015 00:00:00,Flows,40.41666667
04/09/2015 00:00:00,Flows,42.08333333
05/09/2015 00:00:00,Flows,-3.165
06/09/2015 00:00:00,Flows,-27.08333333
07/09/2015 00:00:00,Flows,-89.81933333
08/09/2015 00:00:00,Flows,-113.3016667
09/09/2015 00:00:00,Flows,-397.6601667
10/09/2015 00:00:00,Flows,-270.393
11/09/2015 00:00:00,Flows,-223.4434167
12/09/2015 00:00:00,Flows,-293.5758333
13/09/2015 00:00:00,Flows,-284.4593333
14/09/2015 00:00:00,Flows,-172.7378333
15/09/2015 00:00:00,Flows,-84.04
16/09/2015 00:00:00,Flows,-30.03466667
17/09/2015 00:00:00,Flows,-32.30966667
18/09/2015 00:00:00,Flows,-184.5503333
