Fuel_Type,Date_MST,Measure_Names,Measure_Values
Coal,2019-01-01,Maximum Capacity,5568.0
Coal,2019-02-01,Maximum Capacity,5568.0
Coal,2019-03-01,Maximum Capacity,5568.0
Coal,2019-04-01,Maximum Capacity,5568.0
Coal,2019-05-01,Maximum Capacity,5568.0
Coal,2019-06-01,Maximum Capacity,5568.0
Coal,2019-07-01,Maximum Capacity,5568.0
Coal,2019-08-01,Maximum Capacity,5568.0
Coal,2019-09-01,Maximum Capacity,5568.0
Coal,2019-10-01,Maximum Capacity,5568.0
Coal,2019-11-01,Maximum Capacity,5568.0
Coal,2019-12-01,Maximum Capacity,5568.0
Coal,2019-01-13,Maximum Capacity,5568.0
Coal,2019-01-14,Maximum Capacity,5568.0
Coal,2019-01-15,Maximum Capacity,5568.0
Coal,2019-01-16,Maximum Capacity,5568.0
Coal,2019-01-17,Maximum Capacity,5568.0
Coal,2019-01-18,Maximum Capacity,5568.0
Coal,2019-01-19,Maximum Capacity,5568.0
Coal,2019-01-20,Maximum Capacity,5568.0
Coal,2019-01-21,Maximum Capacity,5568.0
Coal,2019-01-22,Maximum Capacity,5568.0
Coal,2019-01-23,Maximum Capacity,5568.0
Coal,2019-01-24,Maximum Capacity,5568.0
Coal,2019-01-25,Maximum Capacity,5568.0
Coal,2019-01-26,Maximum Capacity,5568.0
Coal,2019-01-27,Maximum Capacity,5568.0
Coal,2019-01-28,Maximum Capacity,5568.0
Coal,2019-01-29,Maximum Capacity,5568.0
Coal,2019-01-30,Maximum Capacity,5568.0
Coal,2019-01-31,Maximum Capacity,5568.0
Coal,2019-01-02,Maximum Capacity,5568.0
Coal,2019-02-02,Maximum Capacity,5568.0
Coal,2019-03-02,Maximum Capacity,5568.0
Coal,2019-04-02,Maximum Capacity,5568.0
Coal,2019-05-02,Maximum Capacity,5568.0
Coal,2019-06-02,Maximum Capacity,5568.0
Coal,2019-07-02,Maximum Capacity,5568.0
Coal,2019-08-02,Maximum Capacity,5568.0
Coal,2019-09-02,Maximum Capacity,5568.0
Coal,2019-10-02,Maximum Capacity,5568.0
Coal,2019-11-02,Maximum Capacity,5568.0
Coal,2019-12-02,Maximum Capacity,5568.0
Coal,2019-02-13,Maximum Capacity,5568.0
Coal,2019-02-14,Maximum Capacity,5568.0
Coal,2019-02-15,Maximum Capacity,5568.0
Coal,2019-02-16,Maximum Capacity,5568.0
Coal,2019-02-17,Maximum Capacity,5568.0
Coal,2019-02-18,Maximum Capacity,5568.0
Coal,2019-02-19,Maximum Capacity,5568.0
Coal,2019-02-20,Maximum Capacity,5568.0
Coal,2019-02-21,Maximum Capacity,5568.0
Coal,2019-02-22,Maximum Capacity,5568.0
Coal,2019-02-23,Maximum Capacity,5568.0
Coal,2019-02-24,Maximum Capacity,5568.0
Coal,2019-02-25,Maximum Capacity,5568.0
Coal,2019-02-26,Maximum Capacity,5568.0
Coal,2019-02-27,Maximum Capacity,5568.0
Coal,2019-02-28,Maximum Capacity,5568.0
Coal,2019-01-03,Maximum Capacity,5568.0
Coal,2019-02-03,Maximum Capacity,5568.0
Coal,2019-03-03,Maximum Capacity,5568.0
Coal,2019-04-03,Maximum Capacity,5568.0
Coal,2019-05-03,Maximum Capacity,5568.0
Coal,2019-06-03,Maximum Capacity,5568.0
Coal,2019-07-03,Maximum Capacity,5568.0
Coal,2019-08-03,Maximum Capacity,5568.0
Coal,2019-09-03,Maximum Capacity,5568.0
Coal,2019-10-03,Maximum Capacity,5568.0
Coal,2019-11-03,Maximum Capacity,5568.0
Coal,2019-12-03,Maximum Capacity,5568.0
Coal,2019-03-13,Maximum Capacity,5568.0
Coal,2019-03-14,Maximum Capacity,5568.0
Coal,2019-03-15,Maximum Capacity,5568.0
Coal,2019-03-16,Maximum Capacity,5568.0
Coal,2019-03-17,Maximum Capacity,5568.0
Coal,2019-03-18,Maximum Capacity,5568.0
Coal,2019-03-19,Maximum Capacity,5568.0
Coal,2019-03-20,Maximum Capacity,5568.0
Coal,2019-03-21,Maximum Capacity,5568.0
Coal,2019-03-22,Maximum Capacity,5568.0
Coal,2019-03-23,Maximum Capacity,5568.0
Coal,2019-03-24,Maximum Capacity,5568.0
Coal,2019-03-25,Maximum Capacity,5568.0
Coal,2019-03-26,Maximum Capacity,5568.0
Coal,2019-03-27,Maximum Capacity,5568.0
Coal,2019-03-28,Maximum Capacity,5568.0
Coal,2019-03-29,Maximum Capacity,5568.0
Coal,2019-03-30,Maximum Capacity,5568.0
Coal,2019-03-31,Maximum Capacity,5568.0
Coal,2019-01-04,Maximum Capacity,5568.0
Coal,2019-02-04,Maximum Capacity,5568.0
Coal,2019-03-04,Maximum Capacity,5568.0
Coal,2019-04-04,Maximum Capacity,5568.0
Coal,2019-05-04,Maximum Capacity,5568.0
Coal,2019-06-04,Maximum Capacity,5568.0
Coal,2019-07-04,Maximum Capacity,5568.0
Coal,2019-08-04,Maximum Capacity,5568.0
Coal,2019-09-04,Maximum Capacity,5568.0
Coal,2019-10-04,Maximum Capacity,5568.0
Coal,2019-11-04,Maximum Capacity,5568.0
Coal,2019-12-04,Maximum Capacity,5568.0
Coal,2019-04-13,Maximum Capacity,5568.0
Coal,2019-04-14,Maximum Capacity,5568.0
Coal,2019-04-15,Maximum Capacity,5568.0
Coal,2019-04-16,Maximum Capacity,5568.0
Coal,2019-04-17,Maximum Capacity,5568.0
Coal,2019-04-18,Maximum Capacity,5568.0
Coal,2019-04-19,Maximum Capacity,5568.0
Coal,2019-04-20,Maximum Capacity,5568.0
Coal,2019-04-21,Maximum Capacity,5568.0
Coal,2019-04-22,Maximum Capacity,5568.0
Coal,2019-04-23,Maximum Capacity,5568.0
Coal,2019-04-24,Maximum Capacity,5568.0
Coal,2019-04-25,Maximum Capacity,5568.0
Coal,2019-04-26,Maximum Capacity,5568.0
Coal,2019-04-27,Maximum Capacity,5568.0
Coal,2019-04-28,Maximum Capacity,5568.0
Coal,2019-04-29,Maximum Capacity,5568.0
Coal,2019-04-30,Maximum Capacity,5568.0
Coal,2019-01-05,Maximum Capacity,5568.0
Coal,2019-02-05,Maximum Capacity,5568.0
Coal,2019-03-05,Maximum Capacity,5568.0
Coal,2019-04-05,Maximum Capacity,5568.0
Coal,2019-05-05,Maximum Capacity,5568.0
Coal,2019-06-05,Maximum Capacity,5568.0
Coal,2019-07-05,Maximum Capacity,5568.0
Coal,2019-08-05,Maximum Capacity,5568.0
Coal,2019-09-05,Maximum Capacity,5568.0
Coal,2019-10-05,Maximum Capacity,5568.0
Coal,2019-11-05,Maximum Capacity,5568.0
Coal,2019-12-05,Maximum Capacity,5568.0
Coal,2019-05-13,Maximum Capacity,5568.0
Coal,2019-05-14,Maximum Capacity,5568.0
Coal,2019-05-15,Maximum Capacity,5568.0
Coal,2019-05-16,Maximum Capacity,5568.0
Coal,2019-05-17,Maximum Capacity,5568.0
Coal,2019-05-18,Maximum Capacity,5568.0
Coal,2019-05-19,Maximum Capacity,5568.0
Coal,2019-05-20,Maximum Capacity,5568.0
Coal,2019-05-21,Maximum Capacity,5568.0
Coal,2019-05-22,Maximum Capacity,5568.0
Coal,2019-05-23,Maximum Capacity,5568.0
Coal,2019-05-24,Maximum Capacity,5568.0
Coal,2019-05-25,Maximum Capacity,5568.0
Coal,2019-05-26,Maximum Capacity,5568.0
Coal,2019-05-27,Maximum Capacity,5568.0
Coal,2019-05-28,Maximum Capacity,5568.0
Coal,2019-05-29,Maximum Capacity,5568.0
Coal,2019-05-30,Maximum Capacity,5568.0
Coal,2019-05-31,Maximum Capacity,5568.0
Coal,2019-01-06,Maximum Capacity,5568.0
Coal,2019-02-06,Maximum Capacity,5568.0
Coal,2019-03-06,Maximum Capacity,5568.0
Coal,2019-04-06,Maximum Capacity,5568.0
Coal,2019-05-06,Maximum Capacity,5568.0
Coal,2019-06-06,Maximum Capacity,5568.0
Coal,2019-07-06,Maximum Capacity,5568.0
Coal,2019-08-06,Maximum Capacity,5568.0
Coal,2019-09-06,Maximum Capacity,5568.0
Coal,2019-10-06,Maximum Capacity,5568.0
Coal,2019-11-06,Maximum Capacity,5568.0
Coal,2019-12-06,Maximum Capacity,5568.0
Coal,2019-06-13,Maximum Capacity,5568.0
Coal,2019-06-14,Maximum Capacity,5568.0
Coal,2019-06-15,Maximum Capacity,5568.0
Coal,2019-06-16,Maximum Capacity,5568.0
Coal,2019-06-17,Maximum Capacity,5568.0
Coal,2019-06-18,Maximum Capacity,5568.0
Coal,2019-06-19,Maximum Capacity,5568.0
Coal,2019-06-20,Maximum Capacity,5568.0
Coal,2019-06-21,Maximum Capacity,5568.0
Coal,2019-06-22,Maximum Capacity,5568.0
Coal,2019-06-23,Maximum Capacity,5568.0
Coal,2019-06-24,Maximum Capacity,5568.0
Coal,2019-06-25,Maximum Capacity,5568.0
Coal,2019-06-26,Maximum Capacity,5568.0
Coal,2019-06-27,Maximum Capacity,5568.0
Coal,2019-06-28,Maximum Capacity,5568.0
Coal,2019-06-29,Maximum Capacity,5568.0
Coal,2019-06-30,Maximum Capacity,5568.0
Coal,2019-01-07,Maximum Capacity,5568.0
Coal,2019-02-07,Maximum Capacity,5568.0
Coal,2019-03-07,Maximum Capacity,5568.0
Coal,2019-04-07,Maximum Capacity,5568.0
Coal,2019-05-07,Maximum Capacity,5568.0
Coal,2019-06-07,Maximum Capacity,5568.0
Coal,2019-07-07,Maximum Capacity,5568.0
Coal,2019-08-07,Maximum Capacity,5568.0
Coal,2019-09-07,Maximum Capacity,5568.0
Coal,2019-10-07,Maximum Capacity,5568.0
Coal,2019-11-07,Maximum Capacity,5568.0
Coal,2019-12-07,Maximum Capacity,5568.0
Coal,2019-07-13,Maximum Capacity,5568.0
Coal,2019-07-14,Maximum Capacity,5568.0
Coal,2019-07-15,Maximum Capacity,5568.0
Coal,2019-07-16,Maximum Capacity,5568.0
Coal,2019-07-17,Maximum Capacity,5568.0
Coal,2019-07-18,Maximum Capacity,5568.0
Coal,2019-07-19,Maximum Capacity,5568.0
Coal,2019-07-20,Maximum Capacity,5568.0
Coal,2019-07-21,Maximum Capacity,5568.0
Coal,2019-07-22,Maximum Capacity,5568.0
Coal,2019-07-23,Maximum Capacity,5568.0
Coal,2019-07-24,Maximum Capacity,5568.0
Coal,2019-07-25,Maximum Capacity,5568.0
Coal,2019-07-26,Maximum Capacity,5568.0
Coal,2019-07-27,Maximum Capacity,5568.0
Coal,2019-07-28,Maximum Capacity,5568.0
Coal,2019-07-29,Maximum Capacity,5568.0
Coal,2019-07-30,Maximum Capacity,5568.0
Coal,2019-07-31,Maximum Capacity,5568.0
Coal,2019-01-08,Maximum Capacity,5568.0
Coal,2019-02-08,Maximum Capacity,5568.0
Coal,2019-03-08,Maximum Capacity,5568.0
Coal,2019-04-08,Maximum Capacity,5568.0
Coal,2019-05-08,Maximum Capacity,5568.0
